collection	harvested	dynamic	in_si	mast	ams_site
APASS	True	False	False	False	ams_shared
BLAST	True	False	True	False	ams_shared
BRITE-Constellation	True	False	True	False	ams_shared
CFHT	True	True	True	False	ams_cfht
CFHTMEGAPIPE	True	False	True	False	ams_cfht
CFHTTERAPIX	True	False	True	False	ams_cfht
CFHTWIRWOLF	True	False	True	False	ams_cfht
CGPS	True	False	True	False	ams_drao
CHANDRA	True	False	False	False	ams_maq
DAO	True	True	True	False	ams_dao
DAOCADC	True	False	True	False	ams_dao
DAOPLATES	True	False	True	False	ams_dao
DRAO	True	False	True	False	ams_drao
EUCLID	True	True	True	False	ams_shared
FUSE	True	False	True	False	ams_shared
GEMINI	True	True	True	False	ams_gemini
GEMINICADC	True	False	True	False	ams_gemini
HST	True	True	True	True	ams_mast
HSTHLA	True	False	True	False	ams_shared
IRIS	True	False	True	False	ams_shared
JCMT	True	True	True	False	ams_eao
JCMTLS	True	False	True	False	ams_eao
JWST	True	True	True	True	ams_mast
LSST.DP1	False	True	True	False	ams_shared
MACHO	True	False	True	False	ams_shared
MOST	True	False	True	False	ams_shared
NEOSSAT	True	True	True	False	ams_shared
NGVS	True	False	True	False	ams_ngvs
NOAO	True	False	False	False	ams_maq
OMM	True	True	True	False	ams_omm
POSSUM	True	D	True	False	ams_cirada
RACS	True	False	True	False	ams_cirada
SCUBA-LC	True	False	True	False	ams_eao
SDSS	True	False	False	False	ams_maq
SUBARU	True	False	False	False	ams_maq
SUBARUCADC	True	False	True	False	ams_shared
TAOSII	True	True	True	False	ams_shared
TESS	True	True	False	True	ams_mast
UKIRT	True	False	True	False	ams_eao
VGPS	True	False	True	False	ams_drao
VLASS	True	True	True	False	ams_cirada
WALLABY	True	True	True	False	ams_cirada
XMM	True	False	False	False	ams_maq
